기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국문화예술위원회,기타공공기관,https://www.arko.or.kr/,https://www.arko.or.kr/,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,8,8,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국문화정보원,기타공공기관,https://www.kcisa.kr/,https://www.kcisa.kr/kr/board/notice/boardList.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국문화진흥주식회사,기타공공기관,https://newseoulgolf.co.kr/,https://newseoulgolf.co.kr/board/list1.asp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,2,,,,,아니오,2026-09-26 09:29:41
한국물기술인증원,기타공공기관,https://www.kwtc.or.kr/,https://www.kwtc.or.kr/kwha/bbs/kwhNoticeNew.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국발명진흥회,기타공공기관,https://www.kipa.org/,https://www.kipa.org/kipa/notice/kw_0404.jsp,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,6,6,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국방송광고진흥공사,기타공공기관,https://www.kobaco.co.kr/,https://www.kobaco.co.kr/site/main/board/news/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,2,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국방송통신전파진흥원,준정부기관(위탁집행형),https://www.kca.kr/,https://www.kca.kr/boardList.do?boardId=NOTICE&pageId=www47,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국법무보호복지공단,준정부기관(위탁집행형),https://koreha.or.kr/,https://koreha.or.kr/,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,1,1,0,0,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국법제연구원,기타공공기관,https://www.klri.re.kr/,https://www.klri.re.kr/kor/bbs/BBSMSTR_000000000001/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국벤처투자,기타공공기관,https://www.kvic.or.kr/,https://www.kvic.or.kr/notice/kvic-notice/investment-business-notice,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국보건복지인재원,기타공공기관,https://www.kohi.or.kr/,https://www.kohi.or.kr/gateway.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,2,2,0,1,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국보건사회연구원,기타공공기관,https://www.kihasa.re.kr/,https://www.kihasa.re.kr/news/press/list,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국보건산업진흥원,기타공공기관,https://www.khidi.or.kr/,https://www.khidi.or.kr/board?menuId=MENU02458,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,4,4,0,1,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국보건의료연구원,기타공공기관,https://www.neca.re.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국보건의료인국가시험원,기타공공기관,https://www.kuksiwon.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국보훈복지의료공단,준정부기관(위탁집행형),https://www.bohun.or.kr/,https://www.bohun.or.kr/main/na/ntt/selectNttList.do?mi=32371&bbsId=1152,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,4,,,,,아니오,2026-09-26 09:29:41
한국부동산원,공기업(준시장형),https://www.reb.or.kr/,https://www.reb.or.kr/reb/na/ntt/selectNttList.do?mi=9564&bbsId=1134,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,4,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국사학진흥재단,기타공공기관,https://www.kasfo.or.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
